Item Number,"Standard
Cost","Average
Cost",Wh,Description[1],Description[2],Description[3],Description[4],Description[5],Profile Info[4],"Pricing
Base",Multiplier/Price[1],Multiplier/Price[2],Multiplier/Price[3],Major Pricing,Multiplier/Price[4],Multiplier/Price[5],Multiplier/Price[6],"Price
Per",Item Number,Cross Ref ID
BEA104,0.00,0.00,HB,6204 2RS BEARING,,,,,BEARINGS,P,9.63,11.56,9.63,8.67,8.67,8.67,0.00,EA,BEA104,XSB200
BEA112,0.00,0.00,HB,6206 2RS BEARING,,,,,BEARINGS,P,28.95,34.74,28.95,26.06,26.06,26.06,0.00,EA,BEA112,XSB202
SWTQ750,0.00,0.00,HB,SQ D 9013GHG2J57 120-150PSI,PRESSURE SWITCH,,,,,P,77.40,92.88,77.40,69.66,69.66,76.89,76.89,EA,SWTQ750,XS010
TRA101,0.00,0.00,HB,PRESSURE TRANSMITTER,534CR-TN11-P9-C2A-VY-FM,MINI HERMET,,,TRANSMITTERS,P,221.53,265.83,221.53,,221.53,239.25,234.82,EA,TRA101,XOT003
XHZ100,778.96,778.96,HB,100HP BALDOR MOTOR 405T 1780,SER#16J039W38761,,,,,L,973.70,985.35,0.00,,0.00,0.00,0.00,EA,?,?
XHZ100,778.96,778.96,HB,100HP BALDOR MOTOR 405T 1780,SER#16J039W38761,,,,,L,973.70,985.35,0.00,,0.00,0.00,0.00,EA,?,?
XHZ101,8528.54,8528.54,HB,500HP MOTOR REWIND 3600RPM,FR5009S TEFC  SER:N/A,,,,,L,3064.97,3371.47,3064.97,,0.00,0.00,0.00,EA,?,?
XHZ101,8528.54,8528.54,HB,500HP MOTOR REWIND 3600RPM,FR5009S TEFC  SER:N/A,,,,,L,3064.97,3371.47,3064.97,,0.00,0.00,0.00,EA,?,?
XHZ555,0.00,5.00,HB,5.00 TRANSACTION FEE EA.FOR,PERSONEL CHARGES,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ025,2399.00,2399.00,HB,60HP TECO  MOTOR 1800 365T,EXP FX0126703001,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ030,1304.00,1304.00,HB,30HP TOSHIBA  1200RPM MOTOR FR,SER#96301240,NOTE SOLD ON INV#497499 WITH,WROUNG  DESCRIPTION,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ031,3019.87,3019.87,HB,50HP TOSHIBA MOTOR 1200 OPW 3P,SER#S85028190,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ060,2000.00,2000.00,HB,SIZE 4 GE MOTOR ODPFR405T,SER#L3241024,,,,,L,508.61,514.72,0.00,,0.00,0.00,0.00,EA,?,?
XHZ060,2000.00,2000.00,HB,SIZE 4 GE MOTOR ODPFR405T,SER#L3241024,,,,,L,508.61,514.72,0.00,,0.00,0.00,0.00,EA,?,?
XHZ061,2062.00,2062.00,HB,40HP TATUNG . MOTOR 1200RPM,SER#125027047,,,,,L,638.31,702.14,603.84,,0.00,0.00,0.00,EA,?,?
XHZ061,2062.00,2062.00,HB,40HP TATUNG . MOTOR 1200RPM,SER#125027047,,,,,L,638.31,702.14,603.84,,0.00,0.00,0.00,EA,?,?
XHZ075,2507.00,2507.00,HB,60HP 1200RPM TATUNG MOTOR,FR405T  SER#8201890,,,,,L,4048.20,4203.93,3857.93,,0.00,0.00,0.00,EA,?,?
XHZ075,2507.00,2507.00,HB,60HP 1200RPM TATUNG MOTOR,FR405T  SER#8201890,,,,,L,4048.20,4203.93,3857.93,,0.00,0.00,0.00,EA,?,?
XHZ010,561.97,279.11,HB,3/4 HP SINGLE PH 3600RPM 56C,EXPLOSION PRF SER#W1203200560,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ015,544.96,544.96,HB,1/2 HP 1800RPM EXP-PROOF MOTOR,BALDOR TEFC 56FR W11062241595,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ016,320.18,320.18,HB,1HP 1800RPM 143T EXP-PROOF,TECO MOTOR XP0014  P10 COOLING,FAN SER#CV0103002004,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ017,879.00,879.00,HB,20HP MOTOR 3600 TATUNG 256T,EXP- PROOF SER#WH020JFBCG,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHZ020,1078.00,1078.00,HB,25HP TECO 3600 RPM FR284T TEFC,CXP6123318056,,,,,L,895.86,985.44,895.86,,0.00,0.00,0.00,EA,?,?
XHZ020,1078.00,1078.00,HB,25HP TECO 3600 RPM FR284T TEFC,CXP6123318056,,,,,L,895.86,985.44,895.86,,0.00,0.00,0.00,EA,?,?
XHZ000,266.00,266.00,HB,1-1/2HP MOTOR WITH ROPER PUMP,,,,,,P,1013.04,1013.04,1013.04,,0.00,0.00,0.00,EA,?,?
XHZ000,266.00,266.00,HB,1-1/2HP MOTOR WITH ROPER PUMP,,,,,,P,1013.04,1013.04,1013.04,,0.00,0.00,0.00,EA,?,?
XHZ001,4572.00,4572.00,HB,75HP 3560RPM EXPLOSION PROOF,WORLWIDE MOTOR SER#006141,,,,,L,373.19,410.51,373.19,,0.00,0.00,0.00,EA,?,?
XHZ001,4572.00,4572.00,HB,75HP 3560RPM EXPLOSION PROOF,WORLWIDE MOTOR SER#006141,,,,,L,373.19,410.51,373.19,,0.00,0.00,0.00,EA,?,?
XHZ002,680.00,680.00,HB,5HP MOTOR 3600 RPM 184T FR,TEFC SER#fFX016157005,TECO,,,,L,989.59,989.59,989.59,,0.00,0.00,0.00,EA,?,?
XHZ002,680.00,680.00,HB,5HP MOTOR 3600 RPM 184T FR,TEFC SER#fFX016157005,TECO,,,,L,989.59,989.59,989.59,,0.00,0.00,0.00,EA,?,?
XHZ003,342.02,293.15,HB,.17HP 1140RPM 3PH 38 340 TEFC,BALDOR MOTOR SER#W1109192763,,,,,L,845.00,1183.00,819.00,,0.00,0.00,0.00,EA,?,?
XHZ003,342.02,293.15,HB,.17HP 1140RPM 3PH 38 340 TEFC,BALDOR MOTOR SER#W1109192763,,,,,L,845.00,1183.00,819.00,,0.00,0.00,0.00,EA,?,?
XHW063,1.03,1.03,HB,#2-3 TYPE URD DIRECT BURIAL,ALUMINUM CABLE,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
WIR100,0.64,0.00,HB,SPARK PLUG WIRE,,,,,,P,13.20,15.84,12.76,,12.76,0.75,0.00,EA,WIR100,XHW064
XHW065,1.20,1.32,HB,18/GAGE 16PR INV SHIELD,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW066,0.50,0.55,HB,1-1/4 POLY PLASTIC SCH40 PIPE,WITH PULL ROPE,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHX002,114.73,75.80,HB,CLEANING MISC. MATERIALS,TO DISINFECT P[ANELS,"BLEACH, SPRAYER, LATEX GLOVES,",MASK,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHX002,114.73,75.80,HB,CLEANING MISC. MATERIALS,TO DISINFECT P[ANELS,"BLEACH, SPRAYER, LATEX GLOVES,",MASK,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW055,2.80,3.16,HB,1/0 5KV EPR INS CABLE,,,,,,P,5.25,6.30,5.25,,5.25,0.00,0.00,EA,?,?
XHW055,2.80,3.16,HB,1/0 5KV EPR INS CABLE,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW060,3.44,8.35,HB,1/0 2.5 KVA SHIELDED CABLE,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW061,20.86,20.86,HB,535-RHW-2 HW25453501 CABLE,W/2-DAY FREIGHT ADDED,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
CAB050,1.45,10.40,HB,20FT. AIRCRAFT GROUNDING CABLE,"NDU 5/16""",,,,,P,15.60,18.72,14.04,,14.04,0.00,0.00,EA,CAB050,XHW062
XHW048,8.35,8.35,HB,350MCM-15KV XLP N/S CABLE133%,SHIELDED #20835001 HWC,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW050,2.08,2.08,HB,2/0 ACSR WIRE QUAIL-885NRR,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW050,2.08,2.08,HB,2/0 ACSR WIRE QUAIL-885NRR,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW051,7.83,7.83,HB,250MCM 5/8KV SHD EPR MV105,CABLE,,,,,L,1.78,1.96,1.68,,0.00,0.00,0.00,EA,?,?
XHW051,7.83,7.83,HB,250MCM 5/8KV SHD EPR MV105,CABLE,,,,,L,1.78,1.96,1.68,,0.00,0.00,0.00,EA,?,?
XHW052,77.95,143.06,HB,250' ROLL OF 12-2 ROMEX CABLE,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW052,77.95,143.06,HB,250' ROLL OF 12-2 ROMEX CABLE,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW053,117.44,117.44,HB,"COAX CABLE ,SIGNAL AMPLIFIER",AND CONVERTER BOX,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW053,117.44,117.44,HB,"COAX CABLE ,SIGNAL AMPLIFIER",AND CONVERTER BOX,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHV000,8.26,36.97,HB,VENT AND FAN COVER,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHW000,23.78,8.35,HB,350 MCM S.O. CORD W/GROUND,,,,,,L,16.26,16.46,17.27,,0.00,0.00,0.00,EA,?,?
XHW000,23.78,8.35,HB,350 MCM S.O. CORD W/GROUND,,,,,,L,16.26,16.46,17.27,,0.00,0.00,0.00,EA,?,?
XHW001,3.83,3.82,HB,16AWG 8TR INV AND OA SHILD,CABLE 1608STOSVNTC,,,,,L,9.08,9.19,9.08,,0.00,0.00,0.00,EA,?,?
XHW001,3.83,3.82,HB,16AWG 8TR INV AND OA SHILD,CABLE 1608STOSVNTC,,,,,L,9.08,9.19,9.08,,0.00,0.00,0.00,EA,?,?
XHW002,5.83,5.85,HB,16AWG 16PR INV AND OA SHILD,CABLE 1616SPOPSVNTC,,,,,P,0.62,0.62,0.62,,0.00,0.00,0.00,EA,?,?
XHW002,5.83,5.85,HB,16AWG 16PR INV AND OA SHILD,CABLE 1616SPOPSVNTC,,,,,P,0.62,0.62,0.62,,0.00,0.00,0.00,EA,?,?
XHW007,0.18,448.72,HB,16/4 SHIEDED CABLE,,,,,,P,324.66,389.59,295.15,,295.15,0.00,0.00,MFT,?,?
CRSR192,17.65,19.24,HB,3 1/2  X  3  RE BUSHING,,,,,"BUSHING, RE -",P,59.73,71.68,51.94,46.75,46.75,50.49,63.31,EA,CRSR192,XHW008
XHW018,0.00,0.34,HB,1/2  7-STR GUY WIRE,,,,,,L,354.90,382.20,343.98,,0.00,0.00,0.00,EA,?,?
XHW018,0.00,0.34,HB,1/2  7-STR GUY WIRE,,,,,,L,354.90,382.20,343.98,,0.00,0.00,0.00,EA,?,?
XHU061,0.85,0.82,HB,1FTMC CABLE MC-AL -12/2-SOL-W-,GRD 152461,,,,,L,944.67,1039.13,915.60,,0.00,0.00,0.00,EA,?,?
XHU061,0.85,0.82,HB,1FTMC CABLE MC-AL -12/2-SOL-W-,GRD 152461,,,,,L,944.67,1039.13,915.60,,0.00,0.00,0.00,EA,?,?
XHU062,43.70,43.70,HB,"1 BOX 1/2"" MC WIRE CABLE W/","1/2"" ALUMINUM FLEX CONNECTORS",,,,,L,62.83,69.12,60.90,,0.00,0.00,0.00,EA,?,?
XHU062,43.70,43.70,HB,"1 BOX 1/2"" MC WIRE CABLE W/","1/2"" ALUMINUM FLEX CONNECTORS",,,,,L,62.83,69.12,60.90,,0.00,0.00,0.00,EA,?,?
XHU044,0.00,47.00,HB,27 KV ARRESTER VARI-STAR,,,,,,P,88.20,92.61,88.20,,0.00,0.00,0.00,EA,?,?
XHU044,0.00,47.00,HB,27 KV ARRESTER VARI-STAR,,,,,,P,88.20,92.61,88.20,,0.00,0.00,0.00,EA,?,?
XHU051,158.96,40.29,HB,"DANGER TAPE ,VALVE ACTION RED","PLASTIC BUCKET, PLUGS",,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHU030,41.52,70.55,HB,"1/2"" HEX HEAD UNION",,,,,,L,84.23,92.57,79.68,,0.00,0.00,0.00,EA,?,?
XHU030,41.52,70.55,HB,"1/2"" HEX HEAD UNION",,,,,,L,84.23,92.57,79.68,,0.00,0.00,0.00,EA,?,?
XHU031,74.76,170.88,HB,BATTERY BACKUP UPS,,,,,,L,5.24,5.76,4.96,,0.00,0.00,0.00,EA,?,?
XHU031,74.76,170.88,HB,BATTERY BACKUP UPS,,,,,,L,5.24,5.76,4.96,,0.00,0.00,0.00,EA,?,?
XHU026,177.95,177.95,HB,SC34DW  BATTERY,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHU011,57.08,0.57,HB,3/4 L/T FLEX PVC,106475,,,,,L,1363.67,1909.13,1321.67,,0.00,0.00,0.00,EA,?,?
XHU011,57.08,0.57,HB,3/4 L/T FLEX PVC,106475,,,,,L,1363.67,1909.13,1321.67,,0.00,0.00,0.00,EA,?,?
XHU014,32.27,19.33,HB,3W 30A  RECEPTACLE 125V,,,,,,L,35.11,35.11,35.11,,0.00,0.00,0.00,EA,?,?
XHU014,32.27,19.33,HB,3W 30A  RECEPTACLE 125V,,,,,,L,35.11,35.11,35.11,,0.00,0.00,0.00,EA,?,?
FLA100,38.00,38.00,HB,TRANSF EYEBOLT ADAPTER,"1/2"" OR 3/4"" SECONDARY FLAG",,,CHN P807-0166P,TRANSFORMER SECONDARY FLAGS,P,68.60,82.32,45.73,,55.53,0.00,72.72,EA,FLA100,AD400
FLA100,38.00,38.00,HB,TRANSF EYEBOLT ADAPTER,"1/2"" OR 3/4"" SECONDARY FLAG",,,CHN P807-0166P,TRANSFORMER SECONDARY FLAGS,P,68.60,82.32,45.73,,55.53,0.00,72.72,EA,FLA100,RAA0010
FLA100,38.00,38.00,HB,TRANSF EYEBOLT ADAPTER,"1/2"" OR 3/4"" SECONDARY FLAG",,,CHN P807-0166P,TRANSFORMER SECONDARY FLAGS,P,68.60,82.32,45.73,,55.53,0.00,72.72,EA,FLA100,XSF046
XHU006,239.27,236.22,HB,OZ-G CSBG-400P-1 4-INCH,COND BUSHING,,,,,L,311.04,342.16,301.47,,0.00,0.00,0.00,EA,?,?
XHU006,239.27,236.22,HB,OZ-G CSBG-400P-1 4-INCH,COND BUSHING,,,,,L,311.04,342.16,301.47,,0.00,0.00,0.00,EA,?,?
XHU007,18.29,8.10,HB,"1/4"" S.S. HEX HEAD UNION",,,,,,L,162.32,174.81,162.31,,0.00,0.00,0.00,EA,?,?
XHU007,18.29,8.10,HB,"1/4"" S.S. HEX HEAD UNION",,,,,,L,162.32,174.81,162.31,,0.00,0.00,0.00,EA,?,?
XHU008,55.13,55.13,HB,CRS-H EL69 2-IN 90D ELL,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHU009,19.96,26.92,HB,"3/4"" X 10' GRD ROD & CLAMPS",,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT062,154.30,154.30,HB,ELBOW 1/015KV 600A  TERMINATOR,W/TEST POINT,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT063,154.30,154.30,HB,ELBOW 350MCM 15KV 600A,W/TEST POINT,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHU000,951.00,951.00,HB,"BETTIS ACTUATOR 120V,600LBS,30","SEC,HERTER&THERMOSTAT,BRAKE",BETTIS EM320M-30-C4-02-004,,,,L,2399.95,2428.74,2287.16,,0.00,0.00,0.00,EA,?,?
XHU000,951.00,951.00,HB,"BETTIS ACTUATOR 120V,600LBS,30","SEC,HERTER&THERMOSTAT,BRAKE",BETTIS EM320M-30-C4-02-004,,,,L,2399.95,2428.74,2287.16,,0.00,0.00,0.00,EA,?,?
XHU001,94.86,0.00,HB,"COUPLER TO MOUNT 2"" C&C TO",BETTIS EM300 ACTUATOR,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHU002,20.37,22.43,HB,90-LB NLY FISH LINE,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
TIE440,3.92,3.92,HB,336.4 WRAPLOCK TIE UTF1210,F-NECK,,,,PRIMARY WRAPLOCK TIES,P,24.98,29.98,24.98,,24.98,26.98,26.48,EA,TIE440,XHT026
TIE440,3.92,3.92,HB,336.4 WRAPLOCK TIE UTF1210,F-NECK,,,,PRIMARY WRAPLOCK TIES,P,24.98,29.98,24.98,,24.98,26.98,26.48,EA,TIE440,ZT001
XHT027,1318.00,1318.00,HB,TRAN 50KVA7200   7.2/12.4Y 120,480V TRANSFORMER,5072122BCNG,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT060,0.00,1270.00,HB,50KVA 7200 12470 120-240,NDU,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT061,42.30,42.30,HB,ELBOW 15KV 1/0 TERMINATOR,.830-1.060,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT020,109.61,109.61,HB,15KVA ELBOW  #2 TERMINAL,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT020,109.61,109.61,HB,15KVA ELBOW  #2 TERMINAL,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT021,211.55,0.40,HB,FEM 6 END SECTION ENTRELEC,0118368.16,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT021,211.55,0.40,HB,FEM 6 END SECTION ENTRELEC,0118368.16,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT023,31.47,31.48,HB,GE MDS TRANSNET,,,,,,P,17.60,19.36,0.00,,0.00,0.00,0.00,EA,?,?
XHT023,31.47,31.48,HB,GE MDS TRANSNET,,,,,,P,17.60,19.36,0.00,,0.00,0.00,0.00,EA,?,?
GRI508,5.15,2.03,HB,#4/0 PREFORMED DEADEND,GRIP #DG-4547,,,,PREFORMED DEADEND GRIPS,P,16.91,20.29,14.71,12.50,12.50,0.00,17.92,EA,GRI508,GR508
GRI508,5.15,2.03,HB,#4/0 PREFORMED DEADEND,GRIP #DG-4547,,,,PREFORMED DEADEND GRIPS,P,16.91,20.29,14.71,12.50,12.50,0.00,17.92,EA,GRI508,XHT024
TIE432,3.70,7.40,hb,"#4/0 ""F"" NECK PRIMARY",WRAPLOCK TIE,,,,PRIMARY WRAPLOCK TIES,P,24.35,29.22,21.18,18.00,18.00,0.00,25.81,EA,TIE432,TI432
TIE432,3.70,7.40,hb,"#4/0 ""F"" NECK PRIMARY",WRAPLOCK TIE,,,,PRIMARY WRAPLOCK TIES,P,24.35,29.22,21.18,18.00,18.00,0.00,25.81,EA,TIE432,XHT025
XHT005,238.00,238.00,HB,"4"" X 6"" X 24' CREOSOTE TIMBER",,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT012,12.46,24.91,HB,POC STAND,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT012,12.46,24.91,HB,POC STAND,,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT013,0.00,13.43,HB,1FT 18''WIDE CABLE TRAY AH2618,AH2618LO9288,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
XHT013,0.00,13.43,HB,1FT 18''WIDE CABLE TRAY AH2618,AH2618LO9288,,,,,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
OPEQ612,77.71,58.42,HB,9999WX11  SQ D. AUX CONTACT,,,,,"OPERATORS, SQUARE D",P,140.30,168.36,122.00,,122.00,131.76,148.72,EA,OPEQ612,XHT014
XHT015,226.05,279.66,HB,1IN GRE 710 1-11/32 STUD PUNCH,HS,,,,,P,28.29,30.46,27.42,,0.00,0.00,0.00,EA,?,?
XHT015,226.05,279.66,HB,1IN GRE 710 1-11/32 STUD PUNCH,HS,,,,,P,28.29,30.46,27.42,,0.00,0.00,0.00,EA,?,?
XHT016,140.00,140.00,HB,"8'  X  8'  X  72""  GLAV  WIRE",TROUGH WIRE WAY,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
